Conference,Continent,Num_Papers
nsdi,NA,5169
nsdi,EU,1665
nsdi,AS,1394
nsdi,OC,100
nsdi,AF,25
nsdi,SA,30
nsdi,,3294
cloud,NA,4294
cloud,EU,1433
cloud,AS,1038
cloud,OC,100
cloud,SA,40
cloud,AF,7
cloud,,3208
middleware,NA,3030
middleware,EU,1784
middleware,AS,724
middleware,OC,95
middleware,SA,40
middleware,AF,23
middleware,,2345
eurosys,NA,5016
eurosys,EU,1790
eurosys,AS,1386
eurosys,OC,117
eurosys,SA,25
eurosys,AF,8
eurosys,,3916
icdcs,NA,9930
icdcs,EU,4491
icdcs,AS,4512
icdcs,OC,337
icdcs,SA,120
icdcs,AF,51
icdcs,,6037
ccgrid,NA,5806
ccgrid,EU,3279
ccgrid,AS,1956
ccgrid,OC,340
ccgrid,SA,147
ccgrid,AF,37
ccgrid,,3617
europar,NA,3352
europar,EU,2414
europar,AS,820
europar,OC,98
europar,SA,86
europar,AF,7
europar,,1824
sigcomm,NA,5009
sigcomm,EU,1845
sigcomm,AS,1409
sigcomm,OC,116
sigcomm,SA,38
sigcomm,AF,9
sigcomm,,3581
ic2e,NA,1829
ic2e,EU,1113
ic2e,AS,600
ic2e,OC,102
ic2e,SA,40
ic2e,AF,20
ic2e,,1322
IEEEcloud,NA,5379
IEEEcloud,EU,3277
IEEEcloud,AS,2556
IEEEcloud,OC,433
IEEEcloud,SA,137
IEEEcloud,AF,66
IEEEcloud,,3969
atc,AS,7882
atc,NA,6328
atc,EU,3609
atc,OC,197
atc,SA,178
atc,AF,74
atc,,135
osdi,AS,7893
osdi,NA,6313
osdi,EU,3615
osdi,OC,196
osdi,SA,179
osdi,AF,75
osdi,,132
asplos,NA,9550
asplos,EU,3105
asplos,AS,2450
asplos,OC,174
asplos,SA,58
asplos,AF,21
asplos,,913